新闻,#genre#
JSPORTS2BS243(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/802.ts
JSPORTS3BS244(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/803.ts
JSPORTS4BS245(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/804.ts
ゴルフネットワークGolfNetwork(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/839.ts
GAORASPORTS(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/837.ts
BS釣りビジョンTsuriVision(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/816.ts
KBSNSports(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/937.ts
MBCSports(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/935.ts
SBSSports(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/932.ts
SBSGolf(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/931.ts
JTBCGolf(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/933.ts
JTBCGolf&Sports(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/934.ts
SPOTV(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/939.ts
SPOTV2(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/936.ts
SPOTVGolf&HEALTH(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/930.ts
SPOTVPrime(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/940.ts
SPOTVPrime2(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/941.ts
SKYSports(KR),http://iptvpro.pw:35451//加QQ1078393318/897659860/938.ts
NowSports1CH631,http://iptvpro.pw:35451//加QQ1078393318/897659860/97.ts
NowSports2CH632,http://iptvpro.pw:35451//加QQ1078393318/897659860/98.ts
NowSports3CH633,http://iptvpro.pw:35451//加QQ1078393318/897659860/99.ts
NowSports4CH634,http://iptvpro.pw:35451//加QQ1078393318/897659860/100.ts
NowSports5CH635,http://iptvpro.pw:35451//加QQ1078393318/897659860/101.ts
NowSports6CH636,http://iptvpro.pw:35451//加QQ1078393318/897659860/102.ts
NowSports7CH637,http://iptvpro.pw:35451//加QQ1078393318/897659860/103.ts
Now英超PremierLeague1台CH621,http://iptvpro.pw:35451//加QQ1078393318/897659860/89.ts
Now英超PremierLeague1台(EN)CH621,http://iptvpro.pw:35451//加QQ1078393318/897659860/90.ts
Now英超PremierLeague2台CH622,http://iptvpro.pw:35451//加QQ1078393318/897659860/91.ts
Now英超PremierLeague3台CH623,http://iptvpro.pw:35451//加QQ1078393318/897659860/92.ts
Now英超PremierLeague4台CH624,http://iptvpro.pw:35451//加QQ1078393318/897659860/93.ts
Now英超PremierLeague5台CH625,http://iptvpro.pw:35451//加QQ1078393318/897659860/94.ts
Now英超PremierLeague6台CH626,http://iptvpro.pw:35451//加QQ1078393318/897659860/95.ts
NowSportsCH630,http://iptvpro.pw:35451//加QQ1078393318/897659860/96.ts
曼聯電視MUTVCH640,http://iptvpro.pw:35451//加QQ1078393318/897659860/107.ts
HKNBATV,http://iptvpro.pw:35451//加QQ1078393318/897659860/65070.ts
NowSportsNBACH641,http://iptvpro.pw:35451//加QQ1078393318/897659860/65073.ts
beINSPORTS1CH638,http://iptvpro.pw:35451//加QQ1078393318/897659860/104.ts
beINSPORTS2CH639,http://iptvpro.pw:35451//加QQ1078393318/897659860/105.ts
beINSPORTS3CH643,http://iptvpro.pw:35451//加QQ1078393318/897659860/106.ts
NowSports651英足總CH651,http://iptvpro.pw:35451//加QQ1078393318/897659860/110.ts
NowSports652英足總CH652,http://iptvpro.pw:35451//加QQ1078393318/897659860/111.ts
myTVSUPER直播足球2台CH901,http://iptvpro.pw:35451//加QQ1078393318/897659860/137.ts
myTVSUPER直播足球3台CH902,http://iptvpro.pw:35451//加QQ1078393318/897659860/138.ts
myTVSUPER直播足球4台CH903,http://iptvpro.pw:35451//加QQ1078393318/897659860/139.ts
myTVSUPER直播足球5台CH904,http://iptvpro.pw:35451//加QQ1078393318/897659860/140.ts
myTVSUPER直播足球6台CH905,http://iptvpro.pw:35451//加QQ1078393318/897659860/141.ts
USESPN,http://iptvpro.pw:35451//加QQ1078393318/897659860/1218.ts
USESPN2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1237.ts
USESPNNews,http://iptvpro.pw:35451//加QQ1078393318/897659860/1279.ts
USESPNU,http://iptvpro.pw:35451//加QQ1078393318/897659860/1196.ts
USFoxSports1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1227.ts
USFoxSports2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1226.ts
USNBCSports,http://iptvpro.pw:35451//加QQ1078393318/897659860/1190.ts
USTennis,http://iptvpro.pw:35451//加QQ1078393318/897659860/1266.ts
USMLBNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1406.ts
USMLBStrikeZone,http://iptvpro.pw:35451//加QQ1078393318/897659860/1484.ts
USFoxSoccerPlus,http://iptvpro.pw:35451//加QQ1078393318/897659860/1187.ts
USBeinSports,http://iptvpro.pw:35451//加QQ1078393318/897659860/1259.ts
USBeinSportsES,http://iptvpro.pw:35451//加QQ1078393318/897659860/1234.ts
USNBATV,http://iptvpro.pw:35451//加QQ1078393318/897659860/1219.ts
USNHLNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1232.ts
USOutdoor,http://iptvpro.pw:35451//加QQ1078393318/897659860/1239.ts
USNFLRedZone,http://iptvpro.pw:35451//加QQ1078393318/897659860/1299.ts
USSecNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1240.ts
USSportsMan,http://iptvpro.pw:35451//加QQ1078393318/897659860/1233.ts
USCBSSports,http://iptvpro.pw:35451//加QQ1078393318/897659860/1168.ts
USBTN,http://iptvpro.pw:35451//加QQ1078393318/897659860/1202.ts
USNBCSPBAY,http://iptvpro.pw:35451//加QQ1078393318/897659860/1253.ts
USFishingNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1255.ts
USWillow,http://iptvpro.pw:35451//加QQ1078393318/897659860/1270.ts
USNESN,http://iptvpro.pw:35451//加QQ1078393318/897659860/1171.ts
USUFCPass,http://iptvpro.pw:35451//加QQ1078393318/897659860/1170.ts
USBoxingppv,http://iptvpro.pw:35451//加QQ1078393318/897659860/1252.ts
USWWENetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1169.ts
USNFLSundayTicket1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1692.ts
USNFLSundayTicket2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1693.ts
USNFLSundayTicket3,http://iptvpro.pw:35451//加QQ1078393318/897659860/1694.ts
USNFLSundayTicket4,http://iptvpro.pw:35451//加QQ1078393318/897659860/1695.ts
USNFLSundayTicket5,http://iptvpro.pw:35451//加QQ1078393318/897659860/1696.ts
USNFLSundayTicket6,http://iptvpro.pw:35451//加QQ1078393318/897659860/1697.ts
USNFLSundayTicket7,http://iptvpro.pw:35451//加QQ1078393318/897659860/1698.ts
USNFLSundayTicket8,http://iptvpro.pw:35451//加QQ1078393318/897659860/1699.ts
USNFLSundayTicket9,http://iptvpro.pw:35451//加QQ1078393318/897659860/1700.ts
USNFLSundayTicket10,http://iptvpro.pw:35451//加QQ1078393318/897659860/1701.ts
USNFLSundayTicket11,http://iptvpro.pw:35451//加QQ1078393318/897659860/1702.ts
USNFLSundayTicket12,http://iptvpro.pw:35451//加QQ1078393318/897659860/1703.ts
USTNT,http://iptvpro.pw:35451//加QQ1078393318/897659860/1220.ts
NBALeaguePass1,http://iptvpro.pw:35451//加QQ1078393318/897659860/65077.ts
NBALeaguePass2,http://iptvpro.pw:35451//加QQ1078393318/897659860/65078.ts
NBALeaguePass3,http://iptvpro.pw:35451//加QQ1078393318/897659860/65079.ts
NBALeaguePass4,http://iptvpro.pw:35451//加QQ1078393318/897659860/65080.ts
NBALeaguePass5,http://iptvpro.pw:35451//加QQ1078393318/897659860/65081.ts
NBALeaguePass6,http://iptvpro.pw:35451//加QQ1078393318/897659860/65082.ts
NBALeaguePass7,http://iptvpro.pw:35451//加QQ1078393318/897659860/65083.ts
NBALeaguePass8,http://iptvpro.pw:35451//加QQ1078393318/897659860/65084.ts
NBALeaguePass9,http://iptvpro.pw:35451//加QQ1078393318/897659860/65085.ts
NBALeaguePass10,http://iptvpro.pw:35451//加QQ1078393318/897659860/65086.ts
NHLCentreIce1,http://iptvpro.pw:35451//加QQ1078393318/897659860/65092.ts
NHLCentreIce2,http://iptvpro.pw:35451//加QQ1078393318/897659860/65093.ts
NHLCentreIce3,http://iptvpro.pw:35451//加QQ1078393318/897659860/65094.ts
NHLCentreIce4,http://iptvpro.pw:35451//加QQ1078393318/897659860/65095.ts
NHLCentreIce5,http://iptvpro.pw:35451//加QQ1078393318/897659860/65096.ts
NHLCentreIce6,http://iptvpro.pw:35451//加QQ1078393318/897659860/65097.ts
NHLCentreIce7,http://iptvpro.pw:35451//加QQ1078393318/897659860/65098.ts
NHLCentreIce8,http://iptvpro.pw:35451//加QQ1078393318/897659860/65099.ts
NHLCentreIce9,http://iptvpro.pw:35451//加QQ1078393318/897659860/65100.ts
NHLCentreIce10,http://iptvpro.pw:35451//加QQ1078393318/897659860/65101.ts
NHLCentreIce11,http://iptvpro.pw:35451//加QQ1078393318/897659860/65102.ts
NHLCentreIce12,http://iptvpro.pw:35451//加QQ1078393318/897659860/65103.ts
NHLCentreIce13,http://iptvpro.pw:35451//加QQ1078393318/897659860/65104.ts
NHLCentreIce14,http://iptvpro.pw:35451//加QQ1078393318/897659860/65105.ts
CATSN1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1395.ts
CATSN2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1396.ts
CATSN3,http://iptvpro.pw:35451//加QQ1078393318/897659860/1397.ts
CATSN4,http://iptvpro.pw:35451//加QQ1078393318/897659860/1398.ts
CATSN5,http://iptvpro.pw:35451//加QQ1078393318/897659860/1399.ts
CASportsnet1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1443.ts
CASportsnet360,http://iptvpro.pw:35451//加QQ1078393318/897659860/1444.ts
CASportsnetO,http://iptvpro.pw:35451//加QQ1078393318/897659860/1445.ts
CASportsnetP,http://iptvpro.pw:35451//加QQ1078393318/897659860/1446.ts
CASportsnetW,http://iptvpro.pw:35451//加QQ1078393318/897659860/1447.ts
CASportsnetWorld,http://iptvpro.pw:35451//加QQ1078393318/897659860/1457.ts
CAFightNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1317.ts
CABeinsport,http://iptvpro.pw:35451//加QQ1078393318/897659860/1466.ts
NFLNetwork,http://iptvpro.pw:35451//加QQ1078393318/897659860/1441.ts
CAGolfChannel,http://iptvpro.pw:35451//加QQ1078393318/897659860/1421.ts
CANBA,http://iptvpro.pw:35451//加QQ1078393318/897659860/1410.ts
CARDS,http://iptvpro.pw:35451//加QQ1078393318/897659860/1475.ts
CARDS2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1339.ts
CATVASport1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1471.ts
CATVASport2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1478.ts
UKSkySportsMainEvent,http://iptvpro.pw:35451//加QQ1078393318/897659860/1558.ts
UKSkySportsCricket,http://iptvpro.pw:35451//加QQ1078393318/897659860/1559.ts
UKSkySportsAction,http://iptvpro.pw:35451//加QQ1078393318/897659860/1560.ts
UKSkySportsGolf,http://iptvpro.pw:35451//加QQ1078393318/897659860/1561.ts
UKSkySportsPremierLeague,http://iptvpro.pw:35451//加QQ1078393318/897659860/1562.ts
UKSkySportsFootball,http://iptvpro.pw:35451//加QQ1078393318/897659860/1568.ts
UKSkySportsArena,http://iptvpro.pw:35451//加QQ1078393318/897659860/1566.ts
UKSkySportsF1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1563.ts
UKSkySportsMix,http://iptvpro.pw:35451//加QQ1078393318/897659860/1565.ts
UKSkySportsNews,http://iptvpro.pw:35451//加QQ1078393318/897659860/1564.ts
UKSkySportsRacing,http://iptvpro.pw:35451//加QQ1078393318/897659860/1567.ts
UKTNTSports1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1554.ts
UKTNTSports2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1555.ts
UKTNTSports3,http://iptvpro.pw:35451//加QQ1078393318/897659860/1556.ts
UKEuroSport1,http://iptvpro.pw:35451//加QQ1078393318/897659860/1512.ts
UKEuroSport2,http://iptvpro.pw:35451//加QQ1078393318/897659860/1511.ts
香港HK,#genre#
TVB翡翠台JADE,http://iptvpro.pw:35451//加QQ1078393318/897659860/2.ts
TVBPlus,http://iptvpro.pw:35451//加QQ1078393318/897659860/4.ts
TVB明珠Pearl,http://iptvpro.pw:35451//加QQ1078393318/897659860/5.ts
ViuTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/6.ts
TVB翡翠台JADE4K,http://iptvpro.pw:35451//加QQ1078393318/897659860/7.ts
TVBPlus4K,http://iptvpro.pw:35451//加QQ1078393318/897659860/11.ts
TVB明珠台Pearl4K,http://iptvpro.pw:35451//加QQ1078393318/897659860/10.ts
TVB翡翠台JADE,http://iptvpro.pw:35451//加QQ1078393318/897659860/12.ts
TVBPlusCH082,http://iptvpro.pw:35451//加QQ1078393318/897659860/14.ts
TVBPlusCH082(低延時),http://iptvpro.pw:35451//加QQ1078393318/897659860/15.ts
TVB明珠台PearlCH084,http://iptvpro.pw:35451//加QQ1078393318/897659860/16.ts
ViuTVSixCH096,http://iptvpro.pw:35451//加QQ1078393318/897659860/32.ts
ViuTVCH099,http://iptvpro.pw:35451//加QQ1078393318/897659860/49.ts
鳳凰衛視,http://iptvpro.pw:35451//加QQ1078393318/897659860/18.ts
鳳凰香港,http://iptvpro.pw:35451//加QQ1078393318/897659860/19.ts
鳳凰衛視電影台,http://iptvpro.pw:35451//加QQ1078393318/897659860/20.ts
HOYTV(開電視),http://iptvpro.pw:35451//加QQ1078393318/897659860/21.ts
RTHK31,http://iptvpro.pw:35451//加QQ1078393318/897659860/24.ts
RTHK32,http://iptvpro.pw:35451//加QQ1078393318/897659860/25.ts
RTHK33CCTV1,http://iptvpro.pw:35451//加QQ1078393318/897659860/26.ts
RTHK34CGTN記錄,http://iptvpro.pw:35451//加QQ1078393318/897659860/27.ts
RTHK35CGTN,http://iptvpro.pw:35451//加QQ1078393318/897659860/28.ts
Now直播台CH331,http://iptvpro.pw:35451//加QQ1078393318/897659860/31.ts
NowViu劇集台CH102,http://iptvpro.pw:35451//加QQ1078393318/897659860/33.ts
Now華劇台(粵)CH105,http://iptvpro.pw:35451//加QQ1078393318/897659860/34.ts
Now華劇台(國)CH105,http://iptvpro.pw:35451//加QQ1078393318/897659860/35.ts
NowJelli紫金CH108,http://iptvpro.pw:35451//加QQ1078393318/897659860/36.ts
HBOCH115,http://iptvpro.pw:35451//加QQ1078393318/897659860/37.ts
MOVIEMOVIECH116,http://iptvpro.pw:35451//加QQ1078393318/897659860/38.ts
CinemaxCH118,http://iptvpro.pw:35451//加QQ1078393318/897659860/39.ts
Now爆穀星影台CH138,http://iptvpro.pw:35451//加QQ1078393318/897659860/40.ts
Now爆穀台CH133,http://iptvpro.pw:35451//加QQ1078393318/897659860/41.ts
美亞電影台(粵)CH201,http://iptvpro.pw:35451//加QQ1078393318/897659860/42.ts
美亞電影台(國)CH202,http://iptvpro.pw:35451//加QQ1078393318/897659860/43.ts
中國電影頻道香港版CH204,http://iptvpro.pw:35451//加QQ1078393318/897659860/44.ts
POPC電影頻道CH206,http://iptvpro.pw:35451//加QQ1078393318/897659860/45.ts
KIXCH304,http://iptvpro.pw:35451//加QQ1078393318/897659860/46.ts
LoveNature4KCH403,http://iptvpro.pw:35451//加QQ1078393318/897659860/69.ts
GlobalTrekerCH407,http://iptvpro.pw:35451//加QQ1078393318/897659860/70.ts
DreamWorks(粵)CH440,http://iptvpro.pw:35451//加QQ1078393318/897659860/73.ts
DreamWorks(國)CH440,http://iptvpro.pw:35451//加QQ1078393318/897659860/74.ts
